"filename", "language", "Properties", "Python", "Markdown", "YAML", "C++", "C", "JavaScript", "CSS", "reStructuredText", "XML", "JSON", "GLSL", "toml", "HTML", "Ignore", "Lua", "CUDA C++", "Ini", "Batch", "PowerShell", "comment", "blank", "total"
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageChops.py", "Python", 0, -192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -104, -312
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageCms.py", "Python", 0, -754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -44, -210, -1008
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageColor.py", "Python", 0, -266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -27, -318
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageDraw.py", "Python", 0, -875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, -120, -1066
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageDraw2.py", "Python", 0, -130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -43, -194
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageEnhance.py", "Python", 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -25, -105
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageFile.py", "Python", 0, -568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -91, -137, -796
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageFilter.py", "Python", 0, -419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, -110, -569
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageFont.py", "Python", 0, -1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, -164, -1265
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageGrab.py", "Python", 0, -148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -14, -179
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageMath.py", "Python", 0, -171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -64, -266
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageMode.py", "Python", 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -11, -97
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageMorph.py", "Python", 0, -184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -53, -256
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageOps.py", "Python", 0, -500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -54, -102, -656
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImagePalette.py", "Python", 0, -190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -48, -263
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImagePath.py", "Python", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -3, -21
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageQt.py", "Python", 0, -131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -36, -198
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageSequence.py", "Python", 0, -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -18, -87
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageShow.py", "Python", 0, -233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -74, -327
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageStat.py", "Python", 0, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -21, -130
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageTk.py", "Python", 0, -188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -56, -285
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageTransform.py", "Python", 0, -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -33, -113
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImageWin.py", "Python", 0, -171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -43, -232
"d:\Code\Y4S12Software\Lib\site-packages\PIL\ImtImagePlugin.py", "Python", 0, -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -21, -102
"d:\Code\Y4S12Software\Lib\site-packages\PIL\IptcImagePlugin.py", "Python", 0, -145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, -52, -236
"d:\Code\Y4S12Software\Lib\site-packages\PIL\Jpeg2KImagePlugin.py", "Python", 0, -297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -69, -399
"d:\Code\Y4S12Software\Lib\site-packages\PIL\JpegImagePlugin.py", "Python", 0, -620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -142, -107, -869
"d:\Code\Y4S12Software\Lib\site-packages\PIL\JpegPresets.py", "Python", 0, -215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -25, -242
"d:\Code\Y4S12Software\Lib\site-packages\PIL\McIdasImagePlugin.py", "Python", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -19, -77
"d:\Code\Y4S12Software\Lib\site-packages\PIL\MicImagePlugin.py", "Python", 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -28, -108
"d:\Code\Y4S12Software\Lib\site-packages\PIL\MpegImagePlugin.py", "Python", 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -21, -83
"d:\Code\Y4S12Software\Lib\site-packages\PIL\MpoImagePlugin.py", "Python", 0, -134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -31, -196
"d:\Code\Y4S12Software\Lib\site-packages\PIL\MspImagePlugin.py", "Python", 0, -88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, -37, -196
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PSDraw.py", "Python", 0, -156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -50, -25, -231
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PaletteFile.py", "Python", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -12, -53
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PalmImagePlugin.py", "Python", 0, -155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -37, -227
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PcdImagePlugin.py", "Python", 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -14, -63
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PcfFontFile.py", "Python", 0, -160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -62, -255
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PcxImagePlugin.py", "Python", 0, -125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, -45, -223
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PdfImagePlugin.py", "Python", 0, -201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -56, -47, -304
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PdfParser.py", "Python", 0, -890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -90, -999
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PixarImagePlugin.py", "Python", 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -19, -71
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PngImagePlugin.py", "Python", 0, -1087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -142, -232, -1461
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PpmImagePlugin.py", "Python", 0, -247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, -52, -345
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PsdImagePlugin.py", "Python", 0, -190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, -67, -308
"d:\Code\Y4S12Software\Lib\site-packages\PIL\PyAccess.py", "Python", 0, -249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -81, -365
"d:\Code\Y4S12Software\Lib\site-packages\PIL\QoiImagePlugin.py", "Python", 0, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -21, -107
"d:\Code\Y4S12Software\Lib\site-packages\PIL\SgiImagePlugin.py", "Python", 0, -134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, -47, -232
"d:\Code\Y4S12Software\Lib\site-packages\PIL\SpiderImagePlugin.py", "Python", 0, -200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -60, -59, -319
"d:\Code\Y4S12Software\Lib\site-packages\PIL\SunImagePlugin.py", "Python", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, -27, -140
"d:\Code\Y4S12Software\Lib\site-packages\PIL\TarIO.py", "Python", 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -16, -74
"d:\Code\Y4S12Software\Lib\site-packages\PIL\TgaImagePlugin.py", "Python", 0, -172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, -47, -256
"d:\Code\Y4S12Software\Lib\site-packages\PIL\TiffImagePlugin.py", "Python", 0, -1606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -227, -327, -2160
"d:\Code\Y4S12Software\Lib\site-packages\PIL\TiffTags.py", "Python", 0, -418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -96, -32, -546
"d:\Code\Y4S12Software\Lib\site-packages\PIL\WalImageFile.py", "Python", 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -17, -125
"d:\Code\Y4S12Software\Lib\site-packages\PIL\WebPImagePlugin.py", "Python", 0, -275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -63, -367
"d:\Code\Y4S12Software\Lib\site-packages\PIL\WmfImagePlugin.py", "Python", 0, -96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, -45, -180
"d:\Code\Y4S12Software\Lib\site-packages\PIL\XVThumbImagePlugin.py", "Python", 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -20, -80
"d:\Code\Y4S12Software\Lib\site-packages\PIL\XbmImagePlugin.py", "Python", 0, -46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -27, -96
"d:\Code\Y4S12Software\Lib\site-packages\PIL\XpmImagePlugin.py", "Python", 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -34, -129
"d:\Code\Y4S12Software\Lib\site-packages\PIL\__init__.py", "Python", 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14, -86
"d:\Code\Y4S12Software\Lib\site-packages\PIL\__main__.py", "Python", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_binary.py", "Python", 0, -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -35, -103
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_deprecate.py", "Python", 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -72
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_imagingcms.pyi", "Python", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_imagingft.pyi", "Python", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_tkinter_finder.py", "Python", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -20
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_typing.py", "Python", 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -19
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_util.py", "Python", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -33
"d:\Code\Y4S12Software\Lib\site-packages\PIL\_version.py", "Python", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -5
"d:\Code\Y4S12Software\Lib\site-packages\PIL\features.py", "Python", 0, -265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -66, -332
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\__init__.py", "Python", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, -10, -65
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\__main__.py", "Python", 0, -157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -45, -233
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\_recursion_too_deep_message.py", "Python", 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -11, -46
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\_shared_with_waf.py", "Python", 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -12, -87
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\archive\__init__.py", "Python", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\archive\pyz_crypto.py", "Python", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -3, -17
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\archive\readers.py", "Python", 0, -131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -54, -43, -228
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\archive\writers.py", "Python", 0, -259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -91, -58, -408
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\api.py", "Python", 0, -902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -231, -138, -1271
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\build_main.py", "Python", 0, -737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -229, -174, -1140
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\datastruct.py", "Python", 0, -320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -60, -78, -458
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\icon.py", "Python", 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -15, -91
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\makespec.py", "Python", 0, -695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -84, -72, -851
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\osx.py", "Python", 0, -326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -311, -84, -721
"d:\Code\Y4S12Software\Lib\site-packages\PyInstaller\building\splash.py", "Python", 0, -331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -59, -469
