filename,,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"【异世界情绪】#10《シリウスの心臓_天狼星的心脏》 - 1.【中字】天狼星的心脏(Av245856254,P1).mp3","J-Pop, Anime Song, Original, Vocal, Atmospheric",2124.114809,25.20802653,112.3471467,0.048241927,12.966617,0.017905272
"【花谱】「不埒な喝采_不羁的喝彩」原创歌曲 - 1.不羁的喝彩(Av504244351,P1).mp3","J-Pop, Vocal, Electronic, Experimental, Emotional",2128.888288,22.01133174,161.4990234,0.050708769,14.755088,0.01783565
"【中文字幕】somunia - Emerge - 1.somunia - Emerge_x264(Av382679438,P1).mp3","J-Pop, Electronic, Dreamy, Atmospheric, Chill",2145.295896,23.60901477,143.5546875,0.04924726,10.398387,0.017600419
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 1.小熊（Song by Koresawa）索尔缇娜（南条爱乃）(Av300361986,P1).mp3","J-Pop, Vocal, Ballad, Emotional, Soft",2162.520285,23.81723992,151.9990809,0.048588366,13.093676,0.017360063
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 7.今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）(Av300361986,P7).mp3",,2167.488304,25.24805848,172.265625,0.049135738,12.740547,0.017291952
"【异世界情绪】日文翻唱《海の幽霊_海的幽灵》 - 1.ヰ世界情緒_海の幽霊_zhang(Av550194449,P1).mp3",,2173.065845,24.96483259,89.10290948,0.049133048,13.296411,0.017216119
"【ナースロボ＿タイプＴ】milk【UTAUcover】 - 1.milk(Av632543544,P1).mp3",,2191.405966,22.41160882,112.3471467,0.049838068,16.260801,0.016971387
"「有什么不好」—結束バンド【孤独摇滚】 - 1.【中日歌词_完整版】孤独摇滚ED3「有什么不好」—結束バンド【孤独摇滚】(Av475500353,P1).mp3",,2217.127283,23.28101648,123.046875,0.049466051,15.38044,0.016639651
"【ナースロボ＿タイプＴ】Penguin's Detour【UTAUcover】 - 1.1(Av248375142,P1).mp3",,2234.926831,21.72836492,123.046875,0.049570294,14.251002,0.016417576
"【来自深渊】Hanezeve Caradhina 日曲完整版 - 1.1(Av16693457,P1).mp3",,2237.375859,23.74379218,161.4990234,0.049849393,11.937966,0.016387484
"【官方】King Gnu - 《白日》MV（日剧《冤罪律师》主题曲） - 1.KG_HAKUJITSU_H264_0210final(Av465676178,P1).mp3",,2237.4282,22.10518261,92.28515625,0.048742883,15.38418,0.016386842
"【异世界情绪】日文翻唱《誰か、海を。_谁来、将海。》 - 1.ヰ世界情緒_誰か、海を。_最终(Av546832696,P1).mp3",,2260.428012,24.30945221,143.5546875,0.048412383,14.712647,0.016109548
"【V.W.P】《言霊_言灵》 _ V.W.P #6【Original MV】 - 1.言霊_220117_zhang(Av253310569,P1).mp3",,2264.402379,24.03051336,86.1328125,0.048679812,14.5861435,0.01606258
"「吉他与孤独与蓝色星球」第五集live部分插曲—結束バンド【孤独摇滚】 - 1.ギターと孤独と蒼い惑星(Av562317092,P1).mp3",,2265.562617,22.41718274,95.703125,0.049496676,16.215801,0.01604892
"『中日歌詞付き』 譚雅戦記ED1 FULL - Los! Los! Los! - 悠木碧 - 1.『Lyrics Video - 中日歌詞付き』 幼女戦記 Youjo Sen(Av9081138,P1).mp3",,2267.3013,21.38700496,117.4538352,0.049662636,16.63086,0.016028494
"『MAD 中日歌詞』 劇場版 遊戲人生 Zero 主題曲： THERE IS A REASON -  - 1.1(Av16040894,P1).mp3",,2267.893056,24.3469766,135.9991776,0.048580699,15.776799,0.016021553
"【flower】猛毒【かいりきベア】 - 1.ベノム _ flower - niconico動畫(Av28356844,P1).mp3",,2275.456862,22.23973927,151.9990809,0.049876419,15.64786,0.015933369
"【初音ミク ＆ 可不】成为空【MIMI】 - 1.P1(Av295707376,P1).mp3",,2305.959583,23.92787961,83.35433468,0.050836918,13.351496,0.015587385
"【异世界情绪】#05 《ハイドレンジア_绣球花》原创歌曲MV - 1.【情】绣球花(Av243752757,P1).mp3",,2306.138489,22.76435119,135.9991776,0.049048996,14.58573,0.0155854
"【Mili】Ga1ahad and Scientific Witchery （加拉哈德1号与科学性巫 - 1.1(Av3838286,P1).mp3",,2307.061974,23.52963838,83.35433468,0.04955947,13.272704,0.015575162
"【异世界情绪】日文翻唱《ギャラリア_画廊》 - 1.ヰ世界情緒_ギャラリア_zhang(Av553398807,P1).mp3",,2329.855079,21.6957706,103.359375,0.049970792,11.776058,0.015326665
"【ナースロボ＿タイプＴ Sugar】あなたクランケン【UTAU音源配布】 - 1.2(Av291477249,P1).mp3",,2331.24418,22.62383956,135.9991776,0.049677567,14.852581,0.015311777
"【异世界情绪】日文翻唱《真生活》 - 1.ヰ世界情緒_真生活_zhang(Av638020168,P1).mp3",,2340.079733,23.62295957,129.1992188,0.048979969,12.265381,0.015217751
"【翻唱】ド屑 _ 大人渣 - なきそ _ 町田千麻 (Cover) - 1.ド屑 - なきそ _ 町田ちま(Cover)(Av300846932,P1).mp3",,2340.231857,21.89139258,117.4538352,0.051802584,14.247328,0.015216142
"【异世界情绪】#24 《霞がついてくる_雾霭相随》原创歌曲MV - 1.211207_zhang(Av549651069,P1).mp3",,2345.204121,22.71688956,129.1992188,0.049604808,14.987041,0.015163746
"少女レイ- みきとP covered by 明透【cc字幕】 - 1.少女レイ- みきとP covered by 明透(Av514461244,P1).mp3",,2355.988459,22.75692069,151.9990809,0.048584052,14.70722,0.015051334
"不断被替换的渺小存在【ゆえぽる】 - 1.1(Av621161,P1).mp3",,2359.393988,23.40963838,117.4538352,0.049090637,14.221934,0.015016181
"ステラの座 _ 雄之助 feat. 星界 - 1.ステラの座(Av980684562,P1).mp3",,2361.715705,23.25483522,99.38401442,0.049736456,14.719416,0.01499231
"【异世界情绪】日文翻唱《あだぽしゃ_尸蜡》 - 1.ヰ世界情緒_あた?ほ?しゃ_zhang(Av766467956,P1).mp3",,2366.656031,22.73465014,107.6660156,0.049556912,13.96313,0.014941767
ひつじがいっぴき  ? Vivid BAD SQUAD × MEIKO.flac,,2372.49646,21.65352962,135.9991776,0.050176344,13.582865,0.014882453
"【歌ってみた】蜜月アン?ドゥ?トロワ covered by ヰ世界情緒 - 1.ヰ世界情緒_蜜月アンドゥトロワ(Av83986529,P1).mp3",,2372.958927,25.03621838,184.5703125,0.048958705,14.406434,0.014877776
星野-Say so.mp3,,2375.500743,23.43000277,112.3471467,0.049255995,13.065678,0.014852125
"【异世界情绪】日文翻唱《鳥の詩_鸟之诗》 - 1.【情】鸟之诗(Av332262023,P1).mp3",,2382.121379,23.44903606,123.046875,0.047647277,14.814895,0.014785725
"【歌ってみた】エント?ロール covered by ヰ世界情緒 - 1.ヰ世界情緒_エンドロール(Av711943915,P1).mp3",,2384.071049,22.28876141,151.9990809,0.048824206,16.813213,0.014766284
"【東方神霊廟】～ 聖徳伝説 ～ True Administrator ～ 原曲【高音質】 - 1.1(Av264927,P1).mp3",,2385.203643,22.71570228,107.6660156,0.047945459,15.627164,0.014755014
ももいろの鍵 (feat. 花里みのり & 桐谷遥 & 桃井愛莉 & 日野森雫 & 巡音ルカ).flac,,2395.60565,21.87397701,83.35433468,0.049859054,16.047735,0.014652307
"女の子になりたい _  まふまふ - 1.onnanokoninaritai(Av73334896,P1).mp3",,2398.651523,22.92074327,143.5546875,0.049304312,15.944994,0.014622503
"勺翻唱了死神 - 1.死神 _ 勺(Av889860452,P1).mp3",,2400.659222,22.88959538,117.4538352,0.050232817,12.695134,0.014602924
"【异世界情绪】日文翻唱《深海少女》 - 1.深海少女_zhang(Av468927902,P1).mp3",,2404.418443,22.58593019,135.9991776,0.049476773,15.306683,0.014566404
"【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ - 1.【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ(Av98634874,P1).mp3",,2407.950783,24.98062655,107.6660156,0.048869716,13.699474,0.014532254
"【Mili】Vitamins--  Mili feat World s end girlfriend - 1.Vitamins--Mili feat World s end girlfr(Av38560371,P1).mp3",,2409.031509,23.351596,95.703125,0.048462135,12.840541,0.014521838
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 8.困惑星旅行（Song by 芹泽优）妮娜（芹泽优）(Av300361986,P8).mp3",,2410.819281,24.14407521,143.5546875,0.050042006,12.147657,0.01450464
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 2.Ⅶ. THE RUST（Song by 茅原实里）A.A.（茅原实里）(Av300361986,P2).mp3",,2414.926485,24.21505631,103.359375,0.049294679,11.355388,0.014465284
"【异世界情绪】#03 《物語りのワルツ_叙述者的华尔兹》原创歌曲MV - 1.【情】叙述者的华尔兹(Av91058373,P1).mp3",,2433.373214,22.45581,112.3471467,0.049058918,13.278822,0.014291123
"【歌ってみた】あなぐらぐらし covered by ヰ世界情緒 - 1.ヰ世界情緒_あなぐらぐらし(Av884526676,P1).mp3",,2441.580844,22.82382631,129.1992188,0.047706674,11.451294,0.014214974
"【异世界情绪】【音楽的同位体星界】異星にいこうね_去往异星吧 ヰ世界情緒 feat. 星界 - 1.【异世界情绪】【音楽的同位体星界】異星にいこうね_去往异星吧 ヰ世界情緒 f(Av262779075,P1).mp3",,2452.040929,21.39883354,95.703125,0.050221529,11.646493,0.014119094
"【异世界情绪】日文翻唱《猫の食卓_猫的餐桌》 - 1.ヰ世界情緒_猫の食卓_最终(Av847496015,P1).mp3",,2456.661068,22.50187221,107.6660156,0.048644438,13.924227,0.014077156
"【谢拉×Mana】magnet【贴贴】 - 1.【シエラ×マナ】magnet【歌ってみた】(Av70374361,P1).mp3",,2457.030886,22.77946948,107.6660156,0.049283349,16.057297,0.014073809
[アナザーVER] ひつじがいっぴき (Hitsuji ga Ippiki) ? 小豆沢こはね (Vivid BAD SQUAD) 歌詞 Lyrics プロセカ.flac,,2460.929309,22.17648836,135.9991776,0.051628806,14.995992,0.014038632
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 39.Dokie Doggy Night（Song by alfakyun） 墨(Av300361986,P39).mp3",,2464.832315,23.45860227,123.046875,0.049879171,14.758788,0.014003589
"【异世界情绪】#07 《とめどなき白情_无法停止的白情》原创歌曲MV - 1.（中字）とめと?なき白情(Av584957022,P1).mp3",,2474.349942,21.98966254,86.1328125,0.048612203,14.459753,0.013918865
"【歌ってみた】白昼夢 covered by ヰ世界情緒 - 1.ヰ世界情緒_白昼夢(Av926693430,P1).mp3",,2476.031965,21.76867336,86.1328125,0.048867657,15.014877,0.013903998
"【萌系音乐】未完成ロマンチック - ミツキヨ (Feat.ことのは) - 1.01. 未完成ロマンチック(Feat.ことのは)(Av76914322,P1).mp3",,2478.780233,21.97444309,123.046875,0.048953576,15.87821,0.013879775
"OTOMEROID - ちのい （cover） - 1.OTOMEROID - ちのい （cover）(Av352049886,P1).mp3",,2479.987202,22.38854664,129.1992188,0.052395157,13.631176,0.013869164
"【官方MV_中日特效字幕】那个乐队「あのバンド」_ 孤独摇滚第八话插曲 - 1.【官方MV_中日特效字幕】那个乐队「あのバンド」_ 孤独摇滚第八话插曲(Av690575311,P1).mp3",,2481.342487,21.84193075,95.703125,0.049705906,15.408364,0.013857268
Elemental Creation (kamome sano Remix) - kamome sano.wav,,2481.804344,22.30051175,129.1992188,0.052167524,13.001001,0.013853219
"【异世界情绪】日文翻唱《V〈Re-birth version〉》 - 1.ヰ世界情緒_V（中文字幕）(Av969959488,P1).mp3",,2483.760472,22.84484667,99.38401442,0.048899576,11.991571,0.013836095
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 3.X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）(Av300361986,P3).mp3",,2484.982282,23.55572053,161.4990234,0.049837622,9.833463,0.013825421
かねこちはる - TEmPTaTiON.mp3,,2486.942476,22.86924079,161.4990234,0.051145194,16.050844,0.013808331
"【中文字幕】somunia - Unstep feat.ケンモチヒデフミ - 1.somunia - Unstep feat.ケンモチヒデフミ_x264(Av722833489,P1).mp3",,2487.411987,21.91218993,117.4538352,0.049012474,12.189849,0.013804243
"【异世界情绪】日文翻唱《熱異常_热异常》 - 1.【异世界情绪】日文翻唱《熱異常_热异常》(Av908754224,P1).mp3",,2488.475635,21.77626881,92.28515625,0.049009299,13.488453,0.013794993
"きゅうくらりん - ちのい （cover） - 1.きゅうくらりん - ちのい （cover）(Av736918126,P1).mp3",,2493.059134,22.11983546,112.3471467,0.049605217,14.429519,0.013755271
"【somunia熟肉】食虫植物 - 理芽  somunia - 1.【 cover 】食虫植物 - 理芽 _x264(Av928162828,P1).mp3",,2494.361748,23.31775518,123.046875,0.050719453,13.33468,0.013744024
"【异世界情绪】日文翻唱《第三の心臓_第三心脏》 - 1.ヰ世界情緒_第三の心臓_zhang(Av505646910,P1).mp3",,2498.198584,22.19108673,112.3471467,0.049564483,13.838863,0.013711003
"索姆尼娅酱 - にと?ねと?りーむ！ - 1.そむにあちゃん - にと?ねと?りーむ！(Av340371032,P1).mp3",,2501.901184,23.60890914,89.10290948,0.050507232,16.05169,0.013679287
"【れい】吐出 - 1.はきだすを歌いました - ニコニコ動画(Av16454782,P1).mp3",,2503.778112,22.34753549,112.3471467,0.050625201,15.523601,0.013663266
"命运 _ 春卷饭×煮儿果实 feat.初音未来＆v flower - 1.運命MV202108273mix02master01(Av805237466,P1).mp3",,2504.987033,21.57637102,89.10290948,0.049595198,15.177249,0.013652966
"【异世界情绪】日文翻唱《ロスト?デリュージョン_Lost Delusion》 - 1.【异世界情绪】日文翻唱《ロスト?デリュージョン_Lost Delusion》(Av685580055,P1).mp3",,2507.515814,20.26176303,129.1992188,0.049847644,12.778971,0.013631472
マシュマリー (feat. 花里みのり & 桃井愛莉 & 初音ミク).flac,,2508.262983,24.61848863,123.046875,0.049642689,13.703001,0.013625134
"Gram VS Kobaryo - Yggdrasil - 1.Gram VS Kobaryo - Yggdrasil【The Requie(Av499586562,P1).mp3",,2508.594255,21.21792667,99.38401442,0.047370083,14.493076,0.013622326
"【异世界情绪】#06 《いろはに咲きて_盛开于伊吕波》原创歌曲MV - 1.【情】盛开于伊吕波(Av839098911,P1).mp3",,2513.401074,21.94246124,143.5546875,0.049240012,13.709403,0.01358171
"【官方】King Gnu - 《飞行艇》MV - 1.HIKOUTEI_MASTER_0809fin(Av978670080,P1).mp3",,2517.894015,21.25246626,80.74951172,0.048962957,14.826579,0.013543964
"携帯恋話／rie - 1.AAAAA(Av841455089,P1).mp3",,2518.272841,23.53734132,151.9990809,0.049010435,13.010188,0.013540791
"「不埒な喝采」  covered by 跳亜【cc字幕】 - 1.【歌ってみた】「不埒な喝采」  covered by 跳亜(Av810542096,P1).mp3",,2520.824944,23.60264243,161.4990234,0.050842943,15.503448,0.013519454
"【异世界情绪】日文翻唱《ADAM》 - 1.【情绪】ADAM(Av375730284,P1).mp3",,2521.735546,21.42454839,117.4538352,0.049953713,15.012813,0.013511857
"【Full MV】逆行して逃避行 - BlackY feat. Risa Yuzuki - 1.【Full MV】逆行して逃避行 _ Risa Yuzuki(Av501639085,P1).mp3",,2525.623427,23.33204096,135.9991776,0.048169733,15.050041,0.013479517
"一如既往的场所 「いつもこの場所で」  AMV - 1.1(Av9676829,P1).mp3",,2527.65941,23.16509891,89.10290948,0.048350632,16.29602,0.013462643
"【めぐ】Flyer! - 1.【オリジナルMV】「Flyer! 」歌ってみたver.めぐ - ニコニコ動画(Av767684721,P1).mp3",,2528.272689,23.04638386,95.703125,0.04972754,17.493908,0.013457569
"「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12(Av521724987,P1).mp3",,2530.683724,21.76959296,92.28515625,0.049631725,15.586538,0.013437656
"きゅうくらりん (cover) _ 鎖那 - 1.きゅうくらりん (cover) _ 鎖那(Av772160575,P1).mp3",,2533.823182,21.57093012,112.3471467,0.049640808,15.31147,0.013411815
"【翻唱】精神电锯 ／ かいりきベア【Kotone(天神子兔音)cover】 - 1.【翻唱】精神电锯 ／ かいりきベア【Kotone(天神子兔音)cover】(Av545527667,P1).mp3",,2539.790604,21.73596659,184.5703125,0.050390097,16.28179,0.013362971
玩具? V.W.P #10【系譜曲】.wav,,2540.755887,21.02995836,161.4990234,0.049707644,15.195558,0.013355103
"【异世界情绪】#13 「深渊 feat.花谱」原创歌曲MV - 1.【情绪】深渊(Av376208729,P1).mp3",,2541.96152,21.71386984,151.9990809,0.049666941,14.005399,0.01334529
"稲葉曇『ロストアンブレラ』Vo. 歌愛ユキ _ 稻叶昙- Lost Umbrella (Vo. 歌爱 - 1.P1(Av20410843,P1).mp3",,2549.824899,21.54897385,135.9991776,0.049853673,14.205545,0.013281636
STEREOTYPE - Abracadabra - (PsyCore Series No.1) (320 kbps).mp3,,2551.477022,21.18600006,161.4990234,0.047992573,11.111151,0.013268339
"【翻唱】ヴァンパイア_vampire【白雪艾莉娅】 - 1.ヴァンパイア　完成(Av502558563,P1).mp3",,2553.148635,22.28393951,161.4990234,0.050314301,15.808834,0.013254912
果てのない旅.flac,,2555.548035,22.13728291,117.4538352,0.050504366,14.598496,0.013235687
"【櫻花アリス】 透明哀歌 【こぬこ／Cover】 - 1.1(Av1586207,P1).mp3",,2558.320038,22.06558177,112.3471467,0.049475555,13.653698,0.013213546
【BOFXVI】Angel's Salad【BGA】.flac,,2562.826685,19.22882278,117.4538352,0.051023977,15.056437,0.013177708
"天 使 - 1.天使(Av376459307,P1).mp3",,2567.480256,22.42422186,123.046875,0.052534026,14.650862,0.013140904
"【翻唱】可爱的女朋友 ／ syudou【Kotone(天神子兔音)cover】 - 1.【翻唱】可爱的女朋友 ／ syudou【Kotone(天神子兔音)cover(Av760822497,P1).mp3",,2567.555072,23.67672337,161.4990234,0.051509414,16.225584,0.013140314
"【Giga · q_Left】G4L (完整版)【YouTube Music ver.】 - 1.G4L(Av673284810,P1).mp3",,2569.003467,21.81795333,143.5546875,0.050283808,14.257521,0.013128902
人マニア - 桃寝ちのい（cover）.flac,,2569.01524,22.02560308,151.9990809,0.051556069,13.133826,0.01312881
Hellfish - Doctor Beak.mp3,,2571.692067,19.32249956,99.38401442,0.048563163,13.939249,0.013107771
"【BOFU2017】 Lyrith -迷宮Lilith- 【FRENZ2017】 - 1.1(Av15249569,P1).mp3",,2573.069171,22.13729243,89.10290948,0.05096481,14.718673,0.013096974
"【异世界情绪】【音楽的同位体星界】とこしずめ_地镇 ヰ世界情緒 feat. 星界 - 1.【异世界情绪】【音楽的同位体星界】とこしずめ_地镇 ヰ世界情緒 feat. (Av433315834,P1).mp3",,2577.536401,20.89711062,92.28515625,0.050895279,13.858062,0.013062072
"【病娇少女之歌】 要有礼貌哦 - 1.【病娇少女之歌】 要有礼貌哦(Av771007017,P1).mp3",,2578.740074,20.95531745,129.1992188,0.05006459,12.202189,0.013052699
"【异世界情绪】日文翻唱《アイデンティティ_Identity》 - 1.ヰ世界情緒_アイテ?ンティティ_zhang(Av640211866,P1).mp3",,2579.794856,22.60600054,129.1992188,0.050543575,13.491812,0.013044497
Igneon System & Karbyde - TriggerFinger.mp3,,2580.225885,19.56428348,172.265625,0.048724197,12.511354,0.013041148
"【歌ってみた】メテオ covered by ヰ世界情緒 - 1.ヰ世界情緒_メテオ(Av926201717,P1).mp3",,2582.229224,23.89457301,143.5546875,0.046619896,12.955002,0.013025606
"【异世界情绪】日文翻唱《ヴァンパイア_吸血鬼》 - 1.【异世界情绪】日文翻唱《ヴァンパイア_吸血鬼》(Av559561294,P1).mp3",,2583.580818,21.2704949,161.4990234,0.050006252,13.492235,0.013015142
アニマルらんど.mp3,,2585.245525,22.60544532,151.9990809,0.049436992,14.298666,0.013002276
"【Official Audio】Duplicity Shade _ HyuN feat. Sennz - 1.tst(Av642129802,P1).mp3",,2587.954574,21.62714697,112.3471467,0.047366839,12.226338,0.012981392
"【翻唱】Phony - ツミキ _ 町田千麻(Cover) - 1.phony(Av419711743,P1).mp3",,2590.160574,22.43995797,172.265625,0.050124554,14.529998,0.012964437
"【歌ってみた】MACARON covered by ヰ世界情緒 - 1.ヰ世界情緒_Macaron(Av82653007,P1).mp3",,2593.133981,21.72455533,143.5546875,0.049686277,14.559101,0.012941652
"冰雪消融之时，我们能否「再会」？【艾因Eine&勺Shaun】翻唱 - 1.再会【艾因&勺】(Av418809225,P1).mp3",,2593.652613,25.69749082,89.10290948,0.049150377,13.383694,0.012937687
"somunia - 飴色の微熱【cc字幕】 - 1.somunia - 飴色の微熱(Av427584879,P1).mp3",,2601.329769,21.1254987,117.4538352,0.050910536,14.231837,0.012879263
"【BGA】 彁 - LeaF - 1.彁(Av247469165,P1).mp3",,2605.729763,22.99041256,107.6660156,0.051181846,13.722657,0.012846017
"知りたい - 水野あつ covered by 存流【cc字幕】 - 1.【歌ってみた】知りたい - 水野あつ covered by 存流(Av547227860,P1).mp3",,2610.243385,22.75081331,161.4990234,0.051409242,12.159897,0.012812089
"稲葉曇『ラグトレイン』Vo. 歌愛ユキ _ 稻叶昙- Lagtrain (Vo. 歌爱雪) - 1.ラグトレイン(Av883823306,P1).mp3",,2614.366242,21.4724037,143.5546875,0.049089708,14.519412,0.012781255
"【异世界情绪】#28 《パンドラコール_PANDORA CALL》原创歌曲MV - 1.【异世界情绪】#28 《パンドラコール_PANDORA CALL》原创歌曲M(Av772179521,P1).mp3",,2621.035255,22.02031543,129.1992188,0.04940664,14.806153,0.012731692
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 10.篝火（Song by konoco）琳恩（村上奈津实）(Av300361986,P10).mp3",,2623.569058,23.55123352,103.359375,0.048157473,12.453123,0.012712962
"??少女レイ (cover) _兔子[めありー] - 1.少女レイ20180727youtubemst(Av32538951,P1).mp3",,2625.558584,22.43048159,151.9990809,0.048595324,13.944222,0.012698294
【异世界情绪】日文翻唱《アンノウン?マサ?ーク?ース_不为人知的鹅妈妈童谣》.mp3,,2628.86354,23.09045319,112.3471467,0.048627568,13.9526005,0.012674002
"自制中文字幕【初音ミク】重新分娩【MARETU】 - 1.1(Av13814000,P1).mp3",,2629.99109,21.83504665,129.1992188,0.049166633,15.766761,0.012665735
"醒餞の鳥(Seisen no Tori) - Feryquitous feat. Risa Yuzu - 1.seisennotori_youtube(Av205840666,P1).mp3",,2632.877607,23.57690735,89.10290948,0.04922562,15.651826,0.012644622
"[Afflict] Determination feat.棗いつき - Laur - 1.Laur - Determination feat.棗いつき(Av718955077,P1).mp3",,2633.568318,22.00969923,161.4990234,0.048976962,16.166468,0.012639581
"【cc字幕】透明な呼吸  somunia × ヰ世界情緒 - 1.透明な呼吸  somunia × ヰ世界情緒(Av287181202,P1).mp3",,2641.474074,22.79386276,161.4990234,0.050007993,12.542286,0.01258216
"【异世界情绪】日文翻唱《パノプティコン_圆形监狱》 - 1.ヰ世界情緒_ハ?ノフ?ティコン_zhang(Av509276622,P1).mp3",,2643.565897,21.10618361,117.4538352,0.048854416,14.904732,0.012567054
"【异世界情绪】日文翻唱《乙女解剖_少女解剖》 - 1.ヰ世界情緒_乙女解剖_zhang(Av979525573,P1).mp3",,2643.888822,21.76170591,135.9991776,0.049315428,13.6682,0.012564725
【BOFXVII】 Lidelle x Sobrem x Sennzai - self-dissociation【BGA】.flac,,2646.227304,21.39058316,95.703125,0.050250044,9.696545,0.012547887
【歌ってみた】少女レイ ? covered by ヰ世界情緒.wav,,2652.268941,22.26141124,151.9990809,0.048583139,13.592694,0.012504593
"マオ ／森中花咲(cover) - 1.マオ ／森中花咲(cover)(Av205002067,P1).mp3",,2654.32381,22.80445943,151.9990809,0.049517867,15.589237,0.012489935
"【异世界情绪】日文翻唱《運命_命运》 - 1.ヰ世界情緒_運命_zhang(Av893461504,P1).mp3",,2657.091447,21.65825793,89.10290948,0.049425294,13.366682,0.012470248
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 33.红洋装（Song by 叶月由罗）艾薇（古贺葵）(Av300361986,P33).mp3",,2661.871287,23.04752745,123.046875,0.049096668,16.679861,0.012436394
"山茶花 Camellia かめりあ - Exit This Earth's Atomosphere - 1.Camellia - Exit This Earth's Atomosphe(Av286636372,P1).mp3",,2666.745048,21.11890444,172.265625,0.048125897,12.968903,0.012402062
"【中日字幕】INTERNET OVERDOSE _ covered by 藍月なくる - 1.INTERNET OVERDOSE _ covered by 藍月なくる_A(Av254097540,P1).mp3",,2672.151128,22.65644617,161.4990234,0.049542279,15.568878,0.012364202
"【BOF_ET】Sobrem - slic.hertz - 1.video_20221003_083035_edit(Av516191809,P1).mp3",,2673.271012,20.8675382,143.5546875,0.051642756,13.630499,0.012356389
Kill 'Em All.wav,,2674.877285,19.57627971,92.28515625,0.050097651,12.227468,0.012345198
"Toby Fox - MEGALOVANIA (Camellia Remix) - 1.videoplayback_Mux(Av67778046,P1).mp3",,2674.913977,20.84735102,123.046875,0.047696848,13.836002,0.012344943
Kobaryo feat. Srezcat - Darkmoon Dissolve.flac,,2677.4244,21.06740272,103.359375,0.049995003,13.474708,0.012327495
