filename,genre,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"【翻唱】ヴァンパイア_vampire【白雪艾莉娅】 - 1.ヴァンパイア　完成(Av502558563,P1).mp3",,2553.148635,22.28393951,161.4990234,0.050314301,15.808834,0.732812006
"【BOFU2016】Alice in Misanthrope - LeaF - 1.【BOFU2016】 Alice in Misanthrope -厭世アリス(Av7761098,P1).mp3",,2751.433754,21.53243342,172.265625,0.051048927,14.037649,0.730730087
"【翻唱】可爱的女朋友 ／ syudou【Kotone(天神子兔音)cover】 - 1.【翻唱】可爱的女朋友 ／ syudou【Kotone(天神子兔音)cover(Av760822497,P1).mp3",,2567.555072,23.67672337,161.4990234,0.051509414,16.225584,0.729893223
"【异世界情绪】日文翻唱《誰か、海を。_谁来、将海。》 - 1.ヰ世界情緒_誰か、海を。_最终(Av546832696,P1).mp3",,2260.428012,24.30945221,143.5546875,0.048412383,14.712647,0.728155768
"【异世界情绪】日文翻唱《ヴァンパイア_吸血鬼》 - 1.【异世界情绪】日文翻唱《ヴァンパイア_吸血鬼》(Av559561294,P1).mp3",,2583.580818,21.2704949,161.4990234,0.050006252,13.492235,0.726658674
"知りたい - 水野あつ covered by 存流【cc字幕】 - 1.【歌ってみた】知りたい - 水野あつ covered by 存流(Av547227860,P1).mp3",,2610.243385,22.75081331,161.4990234,0.051409242,12.159897,0.72130665
"[Afflict] Determination feat.棗いつき - Laur - 1.Laur - Determination feat.棗いつき(Av718955077,P1).mp3",,2633.568318,22.00969923,161.4990234,0.048976962,16.166468,0.716655465
"【cc字幕】透明な呼吸  somunia × ヰ世界情緒 - 1.透明な呼吸  somunia × ヰ世界情緒(Av287181202,P1).mp3",,2641.474074,22.79386276,161.4990234,0.050007993,12.542286,0.715085659
"C-Show VS DJ Genki - BLACK LABEL - 1.C-Show VS DJ Genki - BLACK LABEL(Av947212375,P1).mp3",,2861.299131,20.07338617,172.265625,0.050017058,13.171327,0.710976484
"【FRENZ2013】 B.B.K.K.B.K.K. 【BOF2013】 - 1.1(Av770385,P1).mp3",,2862.078324,21.25916177,172.265625,0.05155903,14.910024,0.710838271
"【中日字幕】INTERNET OVERDOSE _ covered by 藍月なくる - 1.INTERNET OVERDOSE _ covered by 藍月なくる_A(Av254097540,P1).mp3",,2672.151128,22.65644617,161.4990234,0.049542279,15.568878,0.709026855
"携帯恋話／rie - 1.AAAAA(Av841455089,P1).mp3",,2518.272841,23.53734132,151.9990809,0.049010435,13.010188,0.704087032
Strange Arrival - Bruford.mp3,,2715.552216,20.2688253,161.4990234,0.048511896,13.356967,0.700545552
"【异世界情绪】#13 「深渊 feat.花谱」原创歌曲MV - 1.【情绪】深渊(Av376208729,P1).mp3",,2541.96152,21.71386984,151.9990809,0.049666941,14.005399,0.698977091
"女の子になりたい _  まふまふ - 1.onnanokoninaritai(Av73334896,P1).mp3",,2398.651523,22.92074327,143.5546875,0.049304312,15.944994,0.694664738
人マニア - 桃寝ちのい（cover）.flac,,2569.01524,22.02560308,151.9990809,0.051556069,13.133826,0.693190495
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 8.困惑星旅行（Song by 芹泽优）妮娜（芹泽优）(Av300361986,P8).mp3",,2410.819281,24.14407521,143.5546875,0.050042006,12.147657,0.691795207
"『MAD 中日歌詞』 劇場版 遊戲人生 Zero 主題曲： THERE IS A REASON -  - 1.1(Av16040894,P1).mp3",,2267.893056,24.3469766,135.9991776,0.048580699,15.776799,0.690627969
アニマルらんど.mp3,,2585.245525,22.60544532,151.9990809,0.049436992,14.298666,0.689744518
Angel (feat. 可不)-猫乃ルル.mp3,,2783.402071,22.97294242,161.4990234,0.051661431,11.421384,0.687506246
"??少女レイ (cover) _兔子[めありー] - 1.少女レイ20180727youtubemst(Av32538951,P1).mp3",,2625.558584,22.43048159,151.9990809,0.048595324,13.944222,0.681269608
"【异世界情绪】#05 《ハイドレンジア_绣球花》原创歌曲MV - 1.【情】绣球花(Av243752757,P1).mp3",,2306.138489,22.76435119,135.9991776,0.049048996,14.58573,0.680771217
Strange Arrival - Dissolve.mp3,,2840.300919,19.62526153,161.4990234,0.048296823,14.068987,0.676784546
【歌ってみた】少女レイ ? covered by ヰ世界情緒.wav,,2652.268941,22.26141124,151.9990809,0.048583139,13.592694,0.675721432
【BOFXVII】saaa ft. MC iwata Bros. - Head BONK ache【BGA】.wav,,2846.322091,19.80137894,161.4990234,0.051020839,12.879247,0.67566154
"マオ ／森中花咲(cover) - 1.マオ ／森中花咲(cover)(Av205002067,P1).mp3",,2654.32381,22.80445943,151.9990809,0.049517867,15.589237,0.675296838
"【理芽】 #08「食虫植物」 （Official Music Video） - 1.rim_syokuchu_1230_1(Av81877256,P1).mp3",,2064.987696,22.92276004,123.046875,0.050446903,12.490356,0.674749377
"【ナースロボ＿タイプＴ Sugar】あなたクランケン【UTAU音源配布】 - 1.2(Av291477249,P1).mp3",,2331.24418,22.62383956,135.9991776,0.049677567,14.852581,0.674390442
"[A]ddiction _ GigaReol×EVO+ - 1.1(Av3232086,P1).mp3",,2866.123281,21.36895873,161.4990234,0.04997263,14.211921,0.671984222
"【异世界情绪】#06 《いろはに咲きて_盛开于伊吕波》原创歌曲MV - 1.【情】盛开于伊吕波(Av839098911,P1).mp3",,2513.401074,21.94246124,143.5546875,0.049240012,13.709403,0.668140845
"Laur - DANGEROOOOUS JUNGLE (Extended) - 1.Laur - DANGEROOOOUS JUNGLE (Extended)(Av605133296,P1).mp3",,2902.711048,19.58905539,161.4990234,0.049235429,13.353356,0.665253553
ひつじがいっぴき  ? Vivid BAD SQUAD × MEIKO.flac,,2372.49646,21.65352962,135.9991776,0.050176344,13.582865,0.664062593
"【ななひら】INTERNET OVERDOSE - 1.【ななひら】INTERNET OVERDOSE(Av893089617,P1).mp3",,2910.420753,22.84730855,161.4990234,0.049532201,15.095695,0.663845951
Strange Arrival - Interior Deterioration.mp3,,2739.109515,19.88529495,151.9990809,0.048422962,12.613625,0.658059737
"【异世界情绪】日文翻唱《深海少女》 - 1.深海少女_zhang(Av468927902,P1).mp3",,2404.418443,22.58593019,135.9991776,0.049476773,15.306683,0.656205887
"【Giga · q_Left】G4L (完整版)【YouTube Music ver.】 - 1.G4L(Av673284810,P1).mp3",,2569.003467,21.81795333,143.5546875,0.050283808,14.257521,0.655731038
"INTERNET OVERDOSE - ちのい （cover） - 1.INTERNET OVERDOSE - ちのい （cover）(Av482098543,P1).mp3",,2967.582153,22.60778282,161.4990234,0.049519813,14.420319,0.653526367
Kakeru - Do you love me？ (feat. りんたる).wav,,2764.524798,21.35985109,151.9990809,0.049520309,15.020572,0.653001027
"【歌ってみた】メテオ covered by ヰ世界情緒 - 1.ヰ世界情緒_メテオ(Av926201717,P1).mp3",,2582.229224,23.89457301,143.5546875,0.046619896,12.955002,0.652822516
"【歌ってみた】MACARON covered by ヰ世界情緒 - 1.ヰ世界情緒_Macaron(Av82653007,P1).mp3",,2593.133981,21.72455533,143.5546875,0.049686277,14.559101,0.650436992
"稲葉曇『ラグトレイン』Vo. 歌愛ユキ _ 稻叶昙- Lagtrain (Vo. 歌爱雪) - 1.ラグトレイン(Av883823306,P1).mp3",,2614.366242,21.4724037,143.5546875,0.049089708,14.519412,0.645824903
[アナザーVER] ひつじがいっぴき (Hitsuji ga Ippiki) ? 小豆沢こはね (Vivid BAD SQUAD) 歌詞 Lyrics プロセカ.flac,,2460.929309,22.17648836,135.9991776,0.051628806,14.995992,0.642589457
"【异世界情绪】日文翻唱《真生活》 - 1.ヰ世界情緒_真生活_zhang(Av638020168,P1).mp3",,2340.079733,23.62295957,129.1992188,0.048979969,12.265381,0.634573626
"【BOF_ET】Sobrem - slic.hertz - 1.video_20221003_083035_edit(Av516191809,P1).mp3",,2673.271012,20.8675382,143.5546875,0.051642756,13.630499,0.633256103
"【异世界情绪】#24 《霞がついてくる_雾霭相随》原创歌曲MV - 1.211207_zhang(Av549651069,P1).mp3",,2345.204121,22.71688956,129.1992188,0.049604808,14.987041,0.633251347
"「有什么不好」—結束バンド【孤独摇滚】 - 1.【中日歌词_完整版】孤独摇滚ED3「有什么不好」—結束バンド【孤独摇滚】(Av475500353,P1).mp3",,2217.127283,23.28101648,123.046875,0.049466051,15.38044,0.629693194
"【Full MV】逆行して逃避行 - BlackY feat. Risa Yuzuki - 1.【Full MV】逆行して逃避行 _ Risa Yuzuki(Av501639085,P1).mp3",,2525.623427,23.33204096,135.9991776,0.048169733,15.050041,0.627461907
"【异世界情绪】日文翻唱《レイニーブーツ_Rainy Boots》 - 1.ヰ世界情緒_レイニーフ?ーツ_zhang(Av978064949,P1).mp3",,2709.094879,21.36763279,143.5546875,0.049762477,14.019528,0.625775116
"【ナースロボ＿タイプＴ】Penguin's Detour【UTAUcover】 - 1.1(Av248375142,P1).mp3",,2234.926831,21.72836492,123.046875,0.049570294,14.251002,0.624687283
"稲葉曇『ロストアンブレラ』Vo. 歌愛ユキ _ 稻叶昙- Lost Umbrella (Vo. 歌爱 - 1.P1(Av20410843,P1).mp3",,2549.824899,21.54897385,135.9991776,0.049853673,14.205545,0.621929193
"【音街ウナ】初恋日記【香椎モイミ】 - 1.【音街ウナ】初恋日記【香椎モイミ】(Av558130680,P1).mp3",,2736.966792,22.62181067,143.5546875,0.049976493,13.724872,0.620039772
"【异世界情绪】日文翻唱《カミノコトバ_神的话语》 - 1.【情】神的话语(Av843779161,P1).mp3",,2003.536175,22.81985811,112.3471467,0.048449117,13.738843,0.61830479
"【异世界情绪】日文翻唱《初恋日記》 - 1.【异世界情绪】日文翻唱《初恋日記》(Av690615688,P1).mp3",,2763.818943,22.66627467,143.5546875,0.049864185,13.756796,0.614584453
クモヒトデのうまる砂の上で - 桃寝ちのい × 桜苺ちる （cover）.flac,,2774.077147,22.19749369,143.5546875,0.050730112,14.916785,0.612518508
"ちゅ、多様性。 - ちのい （cover） - 1.ちゅ、多様性。 - ちのい （cover）(Av652264749,P1).mp3",,2988.824482,22.68150561,151.9990809,0.050168686,14.929951,0.610543906
"【歌ってみた】あなぐらぐらし covered by ヰ世界情緒 - 1.ヰ世界情緒_あなぐらぐらし(Av884526676,P1).mp3",,2441.580844,22.82382631,129.1992188,0.047706674,11.451294,0.609084066
Kobaryo - SUPER REACTOR X [feat. HiTNEX-X].flac,,3010.921325,20.4067076,151.9990809,0.049889988,12.997785,0.6065732
"【异世界情绪】日文翻唱《乙女解剖_少女解剖》 - 1.ヰ世界情緒_乙女解剖_zhang(Av979525573,P1).mp3",,2643.888822,21.76170591,135.9991776,0.049315428,13.6682,0.601073899
"OTOMEROID - ちのい （cover） - 1.OTOMEROID - ちのい （cover）(Av352049886,P1).mp3",,2479.987202,22.38854664,129.1992188,0.052395157,13.631176,0.599821696
Elemental Creation (kamome sano Remix) - kamome sano.wav,,2481.804344,22.30051175,129.1992188,0.052167524,13.001001,0.599388607
"【异世界情绪】日文翻唱《ロスト?デリュージョン_Lost Delusion》 - 1.【异世界情绪】日文翻唱《ロスト?デリュージョン_Lost Delusion》(Av685580055,P1).mp3",,2507.515814,20.26176303,129.1992188,0.049847644,12.778971,0.593310166
"[まどそふと] 【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式?FULL】 ボーカル：ヒ - 1.【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式?FULL】 ボー(Av692661650,P1).mp3",,2684.675041,22.59741615,135.9991776,0.049266205,14.565191,0.592348262
"【异世界情绪】日文翻唱《鳥の詩_鸟之诗》 - 1.【情】鸟之诗(Av332262023,P1).mp3",,2382.121379,23.44903606,123.046875,0.047647277,14.814895,0.585401538
"【异世界情绪】#10《シリウスの心臓_天狼星的心脏》 - 1.【中字】天狼星的心脏(Av245856254,P1).mp3",,2124.114809,25.20802653,112.3471467,0.048241927,12.966617,0.579432922
"『中日歌詞付き』 譚雅戦記ED1 FULL - Los! Los! Los! - 悠木碧 - 1.『Lyrics Video - 中日歌詞付き』 幼女戦記 Youjo Sen(Av9081138,P1).mp3",,2267.3013,21.38700496,117.4538352,0.049662636,16.63086,0.57701434
"【病娇少女之歌】 要有礼貌哦 - 1.【病娇少女之歌】 要有礼貌哦(Av771007017,P1).mp3",,2578.740074,20.95531745,129.1992188,0.05006459,12.202189,0.576949528
"【异世界情绪】日文翻唱《アイデンティティ_Identity》 - 1.ヰ世界情緒_アイテ?ンティティ_zhang(Av640211866,P1).mp3",,2579.794856,22.60600054,129.1992188,0.050543575,13.491812,0.576712446
"【异世界情绪】#28 《パンドラコール_PANDORA CALL》原创歌曲MV - 1.【异世界情绪】#28 《パンドラコール_PANDORA CALL》原创歌曲M(Av772179521,P1).mp3",,2621.035255,22.02031543,129.1992188,0.04940664,14.806153,0.56756012
"自制中文字幕【初音ミク】重新分娩【MARETU】 - 1.1(Av13814000,P1).mp3",,2629.99109,21.83504665,129.1992188,0.049166633,15.766761,0.565602569
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 39.Dokie Doggy Night（Song by alfakyun） 墨(Av300361986,P39).mp3",,2464.832315,23.45860227,123.046875,0.049879171,14.758788,0.564935629
"【萌系音乐】未完成ロマンチック - ミツキヨ (Feat.ことのは) - 1.01. 未完成ロマンチック(Feat.ことのは)(Av76914322,P1).mp3",,2478.780233,21.97444309,123.046875,0.048953576,15.87821,0.561594496
"SOS - 桃寝ちのい （cover） - 1.SOS - 桃寝ちのい （cover）(Av823083339,P1).mp3",,2846.865738,22.40632673,135.9991776,0.049229581,12.938652,0.559492015
"【ナースロボ＿タイプＴ】milk【UTAUcover】 - 1.milk(Av632543544,P1).mp3",,2191.405966,22.41160882,112.3471467,0.049838068,16.260801,0.559333506
"【somunia熟肉】食虫植物 - 理芽  somunia - 1.【 cover 】食虫植物 - 理芽 _x264(Av928162828,P1).mp3",,2494.361748,23.31775518,123.046875,0.050719453,13.33468,0.557898897
"【翻唱】ド屑 _ 大人渣 - なきそ _ 町田千麻 (Cover) - 1.ド屑 - なきそ _ 町田ちま(Cover)(Av300846932,P1).mp3",,2340.231857,21.89139258,117.4538352,0.051802584,14.247328,0.557469164
"【Giga & KIRA】GETCHA!【本家演唱 ver.】 - 1.Giga & KIRA - GETCHA! (Self Cover ver.(Av754722305,P1).mp3",,2678.507245,21.59305069,129.1992188,0.049404373,14.016266,0.555181056
マシュマリー (feat. 花里みのり & 桃井愛莉 & 初音ミク).flac,,2508.262983,24.61848863,123.046875,0.049642689,13.703001,0.554634385
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 41.热情的埃达（Song by Mewhan）索尼娅（五十岚裕美）(Av300361986,P41).mp3",,2688.740028,22.48632532,129.1992188,0.049500765,14.055734,0.553022025
"不断被替换的渺小存在【ゆえぽる】 - 1.1(Av621161,P1).mp3",,2359.393988,23.40963838,117.4538352,0.049090637,14.221934,0.552507147
"[Bassline Yatteru LOL] ベースラインやってる？笑 - Camellia (Fe - 1.繁体中文字幕(Av48101721,P1).mp3",,2718.71765,21.85124003,129.1992188,0.048639338,14.366103,0.546774039
"Sobrem × Silentroom - Random _ BOFXVII Team [Clue] - 1.Random_youtube (1)(Av719068400,P1).mp3",,2719.574828,21.41343528,129.1992188,0.051351044,14.314586,0.546597061
かめりあ - Electromagnetic Stealth Girl Born In Philadelphia.mp3,,2730.144835,20.37507234,129.1992188,0.048548273,14.430254,0.544422324
"勺翻唱了死神 - 1.死神 _ 勺(Av889860452,P1).mp3",,2400.659222,22.88959538,117.4538352,0.050232817,12.695134,0.542059742
"天 使 - 1.天使(Av376459307,P1).mp3",,2567.480256,22.42422186,123.046875,0.052534026,14.650862,0.541066125
"【中文字幕】somunia - Unstep feat.ケンモチヒデフミ - 1.somunia - Unstep feat.ケンモチヒデフミ_x264(Av722833489,P1).mp3",,2487.411987,21.91218993,117.4538352,0.049012474,12.189849,0.521121519
"【奥术魔刃 House】ぱすたすきゃっと _ ななひら(Cover_) - 1.【奥术魔刃 House】ぱすたすきゃっと _ ななひら(Cover-)_ne(Av584260110,P1).mp3",,2849.280504,21.40097587,129.1992188,0.051834394,15.704907,0.520859487
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 33.红洋装（Song by 叶月由罗）艾薇（古贺葵）(Av300361986,P33).mp3",,2661.871287,23.04752745,123.046875,0.049096668,16.679861,0.520532136
"Toby Fox - MEGALOVANIA (Camellia Remix) - 1.videoplayback_Mux(Av67778046,P1).mp3",,2674.913977,20.84735102,123.046875,0.047696848,13.836002,0.51779668
"「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第1(Av221640134,P1).mp3",,2696.765138,22.08334352,123.046875,0.049047486,14.199467,0.51326762
"【异世界情绪】日文翻唱《ADAM》 - 1.【情绪】ADAM(Av375730284,P1).mp3",,2521.735546,21.42454839,117.4538352,0.049953713,15.012813,0.513206181
"【MV】L?schen (Long ver.) - BlackY feat. Risa Yuzuki - 1.[Risa Yuzuki] Loschen_FIX(Av722907250,P1).mp3",,2697.255693,22.56417686,123.046875,0.049236234,14.931627,0.51316671
星野-Say so.mp3,,2375.500743,23.43000277,112.3471467,0.049255995,13.065678,0.509733246
果てのない旅.flac,,2555.548035,22.13728291,117.4538352,0.050504366,14.598496,0.505605166
【BOFXVI】Angel's Salad【BGA】.flac,,2562.826685,19.22882278,117.4538352,0.051023977,15.056437,0.50399393
かたぎり - かたぎりの長い午後 - One of Us.flac,,2952.827031,19.09269915,129.1992188,0.048792741,13.224951,0.501730549
"#1f1e33 (Another long ''''#ant1p01e'''' version) - - 1.''''#ant1p01e'''' version(Av976702292,P1).mp3",,2757.434879,20.91009555,123.046875,0.047655614,12.816687,0.501038041
Beyond the way ? Vivid BAD SQUAD × 初音ミク.flac,,2762.937595,21.0033323,123.046875,0.050277453,14.890895,0.499953412
"冬之花，但是高音质(24bit 96khz flac) - 1.1(Av296055534,P1).mp3",,2005.498634,22.81138748,99.38401442,0.048904684,15.045616,0.496249113
"【异世界情绪】#03 《物語りのワルツ_叙述者的华尔兹》原创歌曲MV - 1.【情】叙述者的华尔兹(Av91058373,P1).mp3",,2433.373214,22.45581,112.3471467,0.049058918,13.278822,0.495642538
"somunia - 飴色の微熱【cc字幕】 - 1.somunia - 飴色の微熱(Av427584879,P1).mp3",,2601.329769,21.1254987,117.4538352,0.050910536,14.231837,0.495614902
"【异世界情绪】日文翻唱《パノプティコン_圆形监狱》 - 1.ヰ世界情緒_ハ?ノフ?ティコン_zhang(Av509276622,P1).mp3",,2643.565897,21.10618361,117.4538352,0.048854416,14.904732,0.486695763
"きゅうくらりん - ちのい （cover） - 1.きゅうくらりん - ちのい （cover）(Av736918126,P1).mp3",,2493.059134,22.11983546,112.3471467,0.049605217,14.429519,0.481798495
"おくすり飲んで寝よう - 桃寝ちのい （cover） - 1.おくすり飲んで寝よう - 桃寝ちのい （cover）(Av865533343,P1).mp3",,3068.93438,21.83054325,129.1992188,0.050106346,14.307966,0.481669619
"悶々ふぁんもおらん - 桃寝ちのい （cover） - 1.悶々ふぁんもおらん - 桃寝ちのい （cover）(Av908915179,P1).mp3",,2859.743761,21.52893956,123.046875,0.050455117,13.070744,0.481514422
"【异世界情绪】日文翻唱《第三の心臓_第三心脏》 - 1.ヰ世界情緒_第三の心臓_zhang(Av505646910,P1).mp3",,2498.198584,22.19108673,112.3471467,0.049564483,13.838863,0.480637863
"【れい】吐出 - 1.はきだすを歌いました - ニコニコ動画(Av16454782,P1).mp3",,2503.778112,22.34753549,112.3471467,0.050625201,15.523601,0.47938337
"SHIKI _ Pure Ruby  [Long Version] - 1.pure_1920(Av973146424,P1).mp3",,2694.694802,21.56656976,117.4538352,0.048601081,14.429059,0.476266019
"【somunia熟肉】[ cover ] nekomeshi - やくしまるえつこ _ somuni - 1.[ cover ] nekomeshi - やくしまるえつこ _ somun(Av64059468,P1).mp3",,2697.085457,22.8066634,117.4538352,0.049109867,10.770825,0.475787931
"【异世界情绪】日文翻唱《あだぽしゃ_尸蜡》 - 1.ヰ世界情緒_あた?ほ?しゃ_zhang(Av766467956,P1).mp3",,2366.656031,22.73465014,107.6660156,0.049556912,13.96313,0.473548241
"きゅうくらりん (cover) _ 鎖那 - 1.きゅうくらりん (cover) _ 鎖那(Av772160575,P1).mp3",,2533.823182,21.57093012,112.3471467,0.049640808,15.31147,0.472725634
"【東方神霊廟】～ 聖徳伝説 ～ True Administrator ～ 原曲【高音質】 - 1.1(Av264927,P1).mp3",,2385.203643,22.71570228,107.6660156,0.047945459,15.627164,0.469066296
"【櫻花アリス】 透明哀歌 【こぬこ／Cover】 - 1.1(Av1586207,P1).mp3",,2558.320038,22.06558177,112.3471467,0.049475555,13.653698,0.467416795
"めりぃめりぃろんり～ - ちのい（original） - 1.めりぃめりぃろんり～ - ちのい（original）(Av437054824,P1).mp3",,2750.593507,22.45949521,117.4538352,0.049672785,13.139721,0.465304415
"【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ - 1.【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ(Av98634874,P1).mp3",,2407.950783,24.98062655,107.6660156,0.048869716,13.699474,0.463671003
"【Giga】CH4NGE【本家演唱／中文CC字幕】 - 1.Giga - CH4NGEをうたいました (Self Cover) [MCY(Av295162306,P1).mp3",,2766.607297,21.71476365,117.4538352,0.051349294,13.892253,0.462246078
"【Official Audio】Duplicity Shade _ HyuN feat. Sennz - 1.tst(Av642129802,P1).mp3",,2587.954574,21.62714697,112.3471467,0.047366839,12.226338,0.461134127
"Rejection - Signal (ft. SUCH) _ Future Core 2020 - 1.Rejection - Signal (ft. SUCH) - Future(Av330120766,P1).mp3",,2791.205739,21.8041296,117.4538352,0.04828308,12.239272,0.457617318
Awake Now 小豆沢 こはね アナザーボーカル プロセカ.flac,,2806.09347,21.72669492,117.4538352,0.051814912,15.16107,0.454855847
【异世界情绪】日文翻唱《アンノウン?マサ?ーク?ース_不为人知的鹅妈妈童谣》.mp3,,2628.86354,23.09045319,112.3471467,0.048627568,13.9526005,0.452704706
"【异世界情绪】日文翻唱《猫の食卓_猫的餐桌》 - 1.ヰ世界情緒_猫の食卓_最终(Av847496015,P1).mp3",,2456.661068,22.50187221,107.6660156,0.048644438,13.924227,0.452481586
"【谢拉×Mana】magnet【贴贴】 - 1.【シエラ×マナ】magnet【歌ってみた】(Av70374361,P1).mp3",,2457.030886,22.77946948,107.6660156,0.049283349,16.057297,0.452398483
